order_id,date,warehouse_id,customer_id,weight_units,priority,time_window_start,time_window_end
ORD-000001,2024-12-01,WH1,CUST-0044,121,standard,14:30,17:30
ORD-000002,2024-12-01,WH1,CUST-0014,50,standard,12:00,15:00
ORD-000003,2024-12-01,WH1,CUST-0012,66,standard,08:00,10:00
ORD-000004,2024-12-01,WH1,CUST-0049,28,standard,14:30,17:30
ORD-000005,2024-12-01,WH1,CUST-0013,123,urgent,14:30,17:30
ORD-000006,2024-12-01,WH1,CUST-0046,21,standard,10:30,14:30
ORD-000007,2024-12-01,WH1,CUST-0045,125,urgent,14:30,18:30
ORD-000008,2024-12-01,WH1,CUST-0034,113,standard,09:30,12:30
ORD-000009,2024-12-01,WH1,CUST-0006,42,urgent,08:00,10:00
ORD-000010,2024-12-01,WH1,CUST-0059,100,standard,08:00,12:00
ORD-000011,2024-12-01,WH1,CUST-0016,27,standard,11:00,13:00
ORD-000012,2024-12-01,WH1,CUST-0049,119,standard,11:30,15:30
ORD-000013,2024-12-01,WH1,CUST-0011,100,standard,14:30,18:30
ORD-000014,2024-12-01,WH1,CUST-0038,56,standard,08:30,12:30
ORD-000015,2024-12-01,WH1,CUST-0047,78,standard,13:30,16:30
ORD-000016,2024-12-01,WH1,CUST-0025,115,standard,10:00,13:00
ORD-000017,2024-12-01,WH1,CUST-0009,84,standard,12:30,14:30
ORD-000018,2024-12-01,WH1,CUST-0006,76,standard,11:30,15:30
ORD-000019,2024-12-01,WH1,CUST-0030,23,urgent,14:30,18:30
ORD-000020,2024-12-01,WH1,CUST-0038,50,standard,10:00,12:00
ORD-000021,2024-12-01,WH1,CUST-0011,18,urgent,13:30,17:30
ORD-000022,2024-12-01,WH1,CUST-0030,134,standard,13:00,16:00
ORD-000023,2024-12-01,WH1,CUST-0013,93,standard,13:00,16:00
ORD-000024,2024-12-01,WH1,CUST-0049,58,standard,09:00,11:00
ORD-000025,2024-12-01,WH1,CUST-0036,98,standard,09:30,13:30
ORD-000026,2024-12-01,WH1,CUST-0059,15,standard,08:30,12:30
ORD-000027,2024-12-01,WH1,CUST-0047,25,standard,13:00,16:00
ORD-000028,2024-12-01,WH1,CUST-0021,47,standard,12:00,16:00
ORD-000029,2024-12-01,WH1,CUST-0048,24,standard,09:00,13:00
ORD-000030,2024-12-01,WH1,CUST-0046,98,standard,12:30,15:30
ORD-000031,2024-12-01,WH1,CUST-0027,23,standard,12:00,14:00
ORD-000032,2024-12-01,WH1,CUST-0035,108,urgent,13:00,17:00
ORD-000033,2024-12-01,WH1,CUST-0010,92,standard,12:30,15:30
ORD-000034,2024-12-01,WH1,CUST-0022,90,standard,10:00,13:00
ORD-000035,2024-12-01,WH1,CUST-0032,74,standard,08:30,11:30
ORD-000036,2024-12-01,WH1,CUST-0021,28,standard,10:00,12:00
ORD-000037,2024-12-01,WH1,CUST-0060,19,standard,10:00,12:00
ORD-000038,2024-12-01,WH1,CUST-0049,18,standard,13:30,16:30
ORD-000039,2024-12-01,WH1,CUST-0035,54,standard,09:00,12:00
ORD-000040,2024-12-01,WH1,CUST-0029,139,standard,13:30,17:30
ORD-000041,2024-12-01,WH1,CUST-0042,111,standard,14:00,18:00
ORD-000042,2024-12-01,WH1,CUST-0008,80,standard,08:00,12:00
ORD-000043,2024-12-01,WH1,CUST-0030,84,standard,10:00,14:00
ORD-000044,2024-12-01,WH1,CUST-0005,78,urgent,14:00,17:00
ORD-000045,2024-12-01,WH1,CUST-0041,130,standard,14:00,16:00
ORD-000046,2024-12-01,WH1,CUST-0052,52,standard,10:30,12:30
ORD-000047,2024-12-01,WH1,CUST-0035,69,urgent,12:00,16:00
ORD-000048,2024-12-01,WH1,CUST-0009,24,standard,11:30,14:30
ORD-000049,2024-12-01,WH1,CUST-0028,52,standard,09:00,12:00
ORD-000050,2024-12-01,WH1,CUST-0041,102,standard,14:30,16:30
ORD-000051,2024-12-01,WH1,CUST-0028,43,standard,14:00,16:00
ORD-000052,2024-12-01,WH1,CUST-0064,41,standard,11:00,14:00
ORD-000053,2024-12-01,WH1,CUST-0051,57,standard,10:30,13:30
ORD-000054,2024-12-01,WH1,CUST-0059,88,standard,11:00,14:00
ORD-000055,2024-12-01,WH1,CUST-0019,61,standard,13:30,17:30
ORD-000056,2024-12-01,WH1,CUST-0034,27,urgent,10:30,13:30
ORD-000057,2024-12-01,WH1,CUST-0018,125,standard,09:00,11:00
ORD-000058,2024-12-01,WH1,CUST-0032,134,urgent,10:30,12:30
ORD-000059,2024-12-01,WH1,CUST-0034,106,standard,14:30,16:30
ORD-000060,2024-12-01,WH1,CUST-0055,43,urgent,08:30,12:30
ORD-000061,2024-12-01,WH1,CUST-0052,37,urgent,08:30,12:30
ORD-000062,2024-12-01,WH2,CUST-0114,50,urgent,12:30,15:30
ORD-000063,2024-12-01,WH2,CUST-0096,68,standard,08:00,12:00
ORD-000064,2024-12-01,WH2,CUST-0085,87,standard,14:00,18:00
ORD-000065,2024-12-01,WH2,CUST-0133,131,standard,09:30,11:30
ORD-000066,2024-12-01,WH2,CUST-0131,104,standard,10:00,12:00
ORD-000067,2024-12-01,WH2,CUST-0079,105,standard,09:00,12:00
ORD-000068,2024-12-01,WH2,CUST-0074,73,standard,08:30,12:30
ORD-000069,2024-12-01,WH2,CUST-0082,85,urgent,10:30,12:30
ORD-000070,2024-12-01,WH2,CUST-0087,63,standard,12:30,14:30
ORD-000071,2024-12-01,WH2,CUST-0088,42,standard,10:30,13:30
ORD-000072,2024-12-01,WH2,CUST-0122,98,standard,08:00,10:00
ORD-000073,2024-12-01,WH2,CUST-0076,106,standard,11:30,14:30
ORD-000074,2024-12-01,WH2,CUST-0117,110,urgent,08:00,10:00
ORD-000075,2024-12-01,WH2,CUST-0116,70,standard,14:00,18:00
ORD-000076,2024-12-01,WH2,CUST-0127,59,standard,13:00,15:00
ORD-000077,2024-12-01,WH2,CUST-0100,92,standard,10:30,12:30
ORD-000078,2024-12-01,WH2,CUST-0069,106,standard,09:30,12:30
ORD-000079,2024-12-01,WH2,CUST-0082,77,urgent,13:30,17:30
ORD-000080,2024-12-01,WH2,CUST-0102,17,standard,12:00,16:00
ORD-000081,2024-12-01,WH2,CUST-0111,48,standard,09:00,12:00
ORD-000082,2024-12-01,WH2,CUST-0082,21,standard,14:00,17:00
ORD-000083,2024-12-01,WH2,CUST-0105,81,standard,08:00,12:00
ORD-000084,2024-12-01,WH2,CUST-0123,86,urgent,10:00,12:00
ORD-000085,2024-12-01,WH2,CUST-0088,65,standard,14:00,18:00
ORD-000086,2024-12-01,WH2,CUST-0126,49,standard,14:30,17:30
ORD-000087,2024-12-01,WH2,CUST-0068,121,standard,13:30,16:30
ORD-000088,2024-12-01,WH2,CUST-0101,99,standard,11:00,14:00
ORD-000089,2024-12-01,WH2,CUST-0132,21,standard,14:30,17:30
ORD-000090,2024-12-01,WH2,CUST-0090,33,urgent,08:00,10:00
ORD-000091,2024-12-01,WH2,CUST-0132,74,standard,10:30,12:30
ORD-000092,2024-12-01,WH2,CUST-0081,34,standard,08:00,10:00
ORD-000093,2024-12-01,WH2,CUST-0106,101,urgent,14:30,18:30
ORD-000094,2024-12-01,WH2,CUST-0132,52,standard,11:00,13:00
ORD-000095,2024-12-01,WH2,CUST-0093,58,standard,08:30,10:30
ORD-000096,2024-12-01,WH2,CUST-0087,88,standard,09:30,11:30
ORD-000097,2024-12-01,WH2,CUST-0115,110,standard,10:30,14:30
ORD-000098,2024-12-01,WH2,CUST-0088,23,standard,10:00,13:00
ORD-000099,2024-12-01,WH2,CUST-0068,87,urgent,12:00,16:00
ORD-000100,2024-12-01,WH2,CUST-0109,72,standard,10:30,13:30
ORD-000101,2024-12-01,WH2,CUST-0130,89,standard,09:00,11:00
ORD-000102,2024-12-01,WH2,CUST-0070,52,urgent,12:30,14:30
ORD-000103,2024-12-01,WH2,CUST-0082,136,standard,12:00,15:00
ORD-000104,2024-12-01,WH2,CUST-0114,99,standard,12:30,15:30
ORD-000105,2024-12-01,WH2,CUST-0107,54,standard,14:30,18:30
ORD-000106,2024-12-01,WH2,CUST-0098,85,standard,12:00,14:00
ORD-000107,2024-12-01,WH2,CUST-0075,106,standard,08:30,10:30
ORD-000108,2024-12-01,WH2,CUST-0098,138,standard,13:30,16:30
ORD-000109,2024-12-01,WH2,CUST-0078,50,standard,08:00,10:00
ORD-000110,2024-12-01,WH2,CUST-0078,54,standard,12:00,16:00
ORD-000111,2024-12-01,WH2,CUST-0130,53,standard,11:00,15:00
