trip_id,date,vehicle_id,driver_id,warehouse_id,num_stops,total_distance_km,weather_condition,traffic_level,planned_duration_min,actual_duration_min
TRIP-00001,2024-07-17,TRK-013,DRV-019,WH3,25,251.8,clear,low,500,542
TRIP-00002,2024-10-09,TRK-009,DRV-013,WH2,22,191.5,rain,low,407,492
TRIP-00003,2024-07-07,TRK-007,DRV-016,WH2,24,307.4,clear,medium,551,714
TRIP-00004,2024-07-28,TRK-008,DRV-010,WH2,23,196.2,fog,medium,421,609
TRIP-00005,2024-09-27,TRK-010,DRV-014,WH2,9,61.1,clear,medium,148,198
TRIP-00006,2024-10-30,TRK-010,DRV-016,WH2,7,53.6,rain,medium,121,169
TRIP-00007,2024-11-14,TRK-015,DRV-021,WH3,16,192.5,clear,medium,354,431
TRIP-00008,2024-07-06,TRK-003,DRV-009,WH1,6,43.2,rain,high,101,176
TRIP-00009,2024-11-15,TRK-004,DRV-002,WH1,19,189.0,clear,low,377,412
TRIP-00010,2024-08-22,TRK-003,DRV-005,WH1,15,116.6,clear,medium,262,365
TRIP-00011,2024-12-04,TRK-005,DRV-004,WH1,22,176.4,rain,medium,390,546
TRIP-00012,2024-10-08,TRK-001,DRV-003,WH1,14,141.7,rain,high,281,524
TRIP-00013,2024-12-29,TRK-012,DRV-019,WH3,8,87.0,clear,low,167,173
TRIP-00014,2024-09-12,TRK-011,DRV-025,WH3,7,93.6,rain,medium,165,237
TRIP-00015,2024-08-14,TRK-013,DRV-022,WH3,10,82.7,rain,low,180,202
TRIP-00016,2024-09-27,TRK-004,DRV-007,WH1,18,151.6,snow,low,327,490
TRIP-00017,2024-07-21,TRK-007,DRV-017,WH2,18,198.0,clear,high,378,618
TRIP-00018,2024-12-16,TRK-014,DRV-020,WH3,12,67.8,clear,low,182,186
TRIP-00019,2024-10-25,TRK-007,DRV-011,WH2,15,141.1,rain,low,289,299
TRIP-00020,2024-10-26,TRK-001,DRV-005,WH1,7,59.6,clear,medium,128,159
TRIP-00021,2024-12-21,TRK-011,DRV-018,WH3,17,236.5,clear,low,411,424
TRIP-00022,2024-11-12,TRK-009,DRV-010,WH2,8,98.2,rain,medium,179,277
TRIP-00023,2024-07-21,TRK-009,DRV-016,WH2,20,212.2,clear,low,411,398
TRIP-00024,2024-11-26,TRK-014,DRV-019,WH3,15,159.9,clear,high,309,496
TRIP-00025,2024-07-18,TRK-008,DRV-016,WH2,14,203.3,rain,high,348,637
TRIP-00026,2024-09-29,TRK-003,DRV-009,WH1,6,53.2,clear,medium,112,142
