trip_id,driver_id,vehicle_id,date,distance_km,fuel_used_liters,harsh_braking_events,harsh_acceleration_events,avg_speed_kmph,idle_time_minutes
TRIP-00001,DRV-017,TRK-009,2024-08-11,35.4,3.9,0,2,69.3,21
TRIP-00002,DRV-022,TRK-014,2024-03-02,141.5,12.03,4,4,58.9,11
TRIP-00003,DRV-004,TRK-005,2024-07-26,18.0,1.46,0,0,73.7,19
TRIP-00004,DRV-014,TRK-009,2024-03-05,78.3,7.69,4,3,71.1,41
TRIP-00005,DRV-025,TRK-012,2024-04-15,117.3,12.66,4,0,62.8,12
TRIP-00006,DRV-004,TRK-002,2024-09-15,207.1,17.51,5,1,63.2,24
TRIP-00007,DRV-014,TRK-007,2024-05-31,80.7,5.48,3,0,60.2,22
TRIP-00008,DRV-008,TRK-002,2024-02-20,70.7,5.98,1,0,78.1,15
TRIP-00009,DRV-011,TRK-010,2024-10-10,180.5,12.4,2,3,54.3,12
TRIP-00010,DRV-022,TRK-013,2024-06-09,150.8,11.3,7,3,62.4,31
TRIP-00011,DRV-013,TRK-008,2024-05-06,155.9,15.07,8,5,54.8,21
TRIP-00012,DRV-005,TRK-005,2024-08-31,72.3,5.85,2,4,66.9,26
TRIP-00013,DRV-015,TRK-006,2024-12-05,142.3,17.05,4,3,66.7,17
TRIP-00014,DRV-023,TRK-012,2024-12-16,94.4,8.78,2,1,48.0,11
TRIP-00015,DRV-009,TRK-004,2024-05-22,75.0,5.56,3,1,69.4,16
TRIP-00016,DRV-002,TRK-003,2024-10-10,64.6,7.23,3,0,62.6,27
TRIP-00017,DRV-012,TRK-009,2024-11-28,65.1,6.9,4,2,76.3,28
TRIP-00018,DRV-003,TRK-003,2024-11-12,141.2,16.11,5,5,66.4,9
TRIP-00019,DRV-004,TRK-005,2024-04-17,197.3,15.93,3,2,70.3,11
TRIP-00020,DRV-016,TRK-006,2024-08-31,88.0,8.59,1,1,70.7,24
TRIP-00021,DRV-012,TRK-010,2024-04-24,125.9,8.36,2,3,55.8,47
TRIP-00022,DRV-021,TRK-013,2024-09-01,85.0,5.97,2,2,55.3,27
TRIP-00023,DRV-019,TRK-013,2024-02-14,137.5,10.37,2,1,59.9,36
TRIP-00024,DRV-007,TRK-002,2024-06-15,131.8,10.41,4,6,61.0,32
TRIP-00025,DRV-007,TRK-003,2024-09-30,18.0,1.89,0,2,63.2,19
TRIP-00026,DRV-006,TRK-002,2024-02-20,156.4,12.21,7,7,63.7,18
TRIP-00027,DRV-009,TRK-002,2024-09-29,132.5,10.66,7,3,67.7,22
TRIP-00028,DRV-017,TRK-010,2024-04-07,113.2,7.57,3,0,63.5,33
TRIP-00029,DRV-016,TRK-010,2024-12-20,77.3,4.71,3,0,56.0,20
TRIP-00030,DRV-010,TRK-007,2024-11-06,164.9,12.57,8,1,58.7,0
TRIP-00031,DRV-021,TRK-014,2024-04-07,165.1,13.3,0,3,65.1,19
TRIP-00032,DRV-016,TRK-006,2024-10-02,169.4,17.49,1,2,62.6,23
TRIP-00033,DRV-007,TRK-005,2024-05-20,148.2,11.38,15,1,65.1,25
TRIP-00034,DRV-001,TRK-005,2024-02-02,196.6,15.65,2,4,69.3,6
TRIP-00035,DRV-007,TRK-005,2024-06-08,116.6,8.9,4,3,68.9,32
TRIP-00036,DRV-008,TRK-004,2024-12-04,155.0,11.46,3,5,69.3,17
TRIP-00037,DRV-001,TRK-005,2024-08-31,162.1,13.23,3,3,71.7,25
TRIP-00038,DRV-023,TRK-014,2024-03-04,133.8,9.98,0,3,61.3,12
TRIP-00039,DRV-005,TRK-005,2024-02-02,111.1,9.16,5,2,61.8,29
TRIP-00040,DRV-024,TRK-013,2024-01-14,127.0,9.63,5,1,60.8,32
TRIP-00041,DRV-007,TRK-005,2024-02-06,104.9,8.07,8,3,61.3,42
TRIP-00042,DRV-021,TRK-012,2024-12-16,32.5,3.25,0,0,47.6,21
TRIP-00043,DRV-025,TRK-012,2024-03-25,165.9,19.85,8,5,53.2,39
TRIP-00044,DRV-021,TRK-014,2024-10-30,151.8,12.24,3,2,53.7,25
TRIP-00045,DRV-022,TRK-013,2024-12-14,157.4,14.41,5,8,56.4,16
TRIP-00046,DRV-024,TRK-014,2024-01-06,149.1,12.05,2,4,64.1,32
TRIP-00047,DRV-008,TRK-002,2024-06-22,152.3,12.62,2,7,69.4,22
TRIP-00048,DRV-018,TRK-012,2024-05-28,108.0,10.39,2,0,60.8,23
TRIP-00049,DRV-007,TRK-002,2024-03-26,108.7,8.58,5,2,65.0,26
TRIP-00050,DRV-023,TRK-014,2024-07-31,242.6,18.77,2,2,55.4,15
TRIP-00051,DRV-007,TRK-004,2024-06-08,62.1,4.1,5,2,74.8,34
TRIP-00052,DRV-003,TRK-005,2024-09-20,157.7,12.77,4,6,67.2,23
TRIP-00053,DRV-008,TRK-004,2024-11-10,131.2,10.12,1,2,73.8,18
TRIP-00054,DRV-003,TRK-004,2024-05-16,202.6,15.38,10,5,70.8,20
TRIP-00055,DRV-009,TRK-003,2024-07-07,153.6,17.78,11,6,67.1,3
TRIP-00056,DRV-001,TRK-003,2024-04-20,109.5,13.07,3,1,62.7,15
TRIP-00057,DRV-024,TRK-014,2024-04-09,81.4,6.56,0,0,59.3,21
TRIP-00058,DRV-018,TRK-014,2024-07-21,216.6,16.92,2,1,64.3,18
TRIP-00059,DRV-011,TRK-010,2024-12-23,140.5,9.84,2,1,65.1,8
TRIP-00060,DRV-024,TRK-011,2024-10-13,52.3,4.24,1,2,53.4,38
TRIP-00061,DRV-003,TRK-002,2024-05-07,52.8,4.34,1,1,74.1,18
TRIP-00062,DRV-025,TRK-014,2024-06-12,103.0,9.02,3,5,51.8,23
TRIP-00063,DRV-020,TRK-013,2024-11-02,88.5,6.71,2,2,66.2,27
TRIP-00064,DRV-001,TRK-005,2024-08-01,115.3,8.69,3,1,76.7,18
TRIP-00065,DRV-005,TRK-005,2024-12-26,128.9,10.3,6,5,63.8,35
TRIP-00066,DRV-007,TRK-005,2024-04-05,231.7,17.74,4,6,71.4,25
TRIP-00067,DRV-023,TRK-012,2024-02-24,101.1,10.1,1,0,57.6,31
TRIP-00068,DRV-021,TRK-012,2024-07-16,61.6,6.37,3,0,55.0,12
TRIP-00069,DRV-025,TRK-014,2024-11-04,182.9,15.97,5,1,51.0,16
TRIP-00070,DRV-023,TRK-011,2024-12-17,74.6,6.45,0,1,52.0,6
TRIP-00071,DRV-015,TRK-009,2024-02-09,154.7,15.95,3,4,75.1,32
TRIP-00072,DRV-024,TRK-013,2024-02-29,91.7,6.76,1,5,53.9,25
TRIP-00073,DRV-014,TRK-007,2024-12-15,151.4,13.33,4,1,59.5,18
TRIP-00074,DRV-007,TRK-004,2024-10-07,111.6,7.01,2,8,69.7,32
TRIP-00075,DRV-005,TRK-005,2024-07-28,89.2,7.34,5,2,62.9,37
TRIP-00076,DRV-002,TRK-002,2024-11-06,80.3,5.84,1,3,52.1,30
TRIP-00077,DRV-017,TRK-009,2024-02-20,142.9,14.24,9,2,67.3,25
TRIP-00078,DRV-018,TRK-013,2024-09-25,131.5,8.86,3,4,58.4,36
TRIP-00079,DRV-009,TRK-002,2024-02-09,53.5,4.41,0,0,72.1,37
TRIP-00080,DRV-001,TRK-004,2024-02-11,125.7,8.94,2,1,75.0,16
TRIP-00081,DRV-006,TRK-005,2024-10-24,139.3,10.25,2,2,67.4,8
TRIP-00082,DRV-021,TRK-013,2024-09-15,138.6,9.39,4,4,60.4,19
TRIP-00083,DRV-002,TRK-002,2024-08-14,164.1,12.9,1,1,66.0,5
TRIP-00084,DRV-001,TRK-002,2024-08-15,84.4,6.6,0,2,75.0,17
TRIP-00085,DRV-010,TRK-006,2024-04-06,18.0,1.89,0,1,66.5,20
TRIP-00086,DRV-021,TRK-014,2024-01-30,122.4,10.06,3,1,47.3,4
TRIP-00087,DRV-013,TRK-007,2024-02-01,201.0,16.71,5,5,57.2,31
TRIP-00088,DRV-018,TRK-013,2024-02-22,186.0,12.01,1,0,59.0,4
TRIP-00089,DRV-012,TRK-010,2024-12-11,158.7,11.0,4,1,63.9,25
TRIP-00090,DRV-021,TRK-015,2024-01-15,119.2,12.27,1,4,67.3,15
TRIP-00091,DRV-020,TRK-014,2024-07-12,115.1,9.38,6,3,58.0,16
TRIP-00092,DRV-017,TRK-010,2024-03-05,212.1,13.72,4,4,50.0,2
TRIP-00093,DRV-002,TRK-003,2024-05-04,157.4,17.4,4,5,59.6,11
TRIP-00094,DRV-004,TRK-005,2024-10-14,181.3,13.67,3,5,71.0,37
TRIP-00095,DRV-008,TRK-005,2024-10-06,95.8,7.62,2,2,72.4,27
TRIP-00096,DRV-022,TRK-012,2024-12-19,34.7,3.88,0,0,55.4,29
TRIP-00097,DRV-023,TRK-015,2024-05-20,101.1,9.73,0,1,69.1,37
TRIP-00098,DRV-020,TRK-015,2024-11-08,252.3,32.58,6,4,57.1,30
TRIP-00099,DRV-019,TRK-012,2024-12-26,143.8,15.2,7,6,51.8,24
TRIP-00100,DRV-020,TRK-011,2024-04-14,45.1,4.01,2,1,61.9,34
TRIP-00101,DRV-014,TRK-006,2024-12-28,81.7,8.79,5,2,68.6,25
TRIP-00102,DRV-011,TRK-008,2024-07-31,175.7,15.78,3,2,66.8,23
TRIP-00103,DRV-001,TRK-005,2024-07-19,18.0,1.41,0,0,65.2,11
TRIP-00104,DRV-022,TRK-014,2024-11-25,188.4,16.51,4,11,58.4,32
TRIP-00105,DRV-016,TRK-010,2024-07-28,120.1,7.09,1,2,64.4,26
TRIP-00106,DRV-016,TRK-006,2024-11-22,149.2,13.39,3,4,75.2,23
TRIP-00107,DRV-021,TRK-014,2024-04-23,150.8,11.97,3,4,57.1,25
TRIP-00108,DRV-002,TRK-001,2024-08-31,203.4,12.4,5,5,52.8,26
TRIP-00109,DRV-004,TRK-003,2024-11-06,140.4,15.69,3,1,64.0,22
TRIP-00110,DRV-002,TRK-004,2024-11-30,33.3,2.24,0,0,64.6,15
TRIP-00111,DRV-014,TRK-009,2024-11-05,59.7,5.76,1,2,70.0,22
TRIP-00112,DRV-011,TRK-009,2024-08-21,115.2,12.34,2,0,69.8,19
TRIP-00113,DRV-018,TRK-014,2024-06-15,107.6,8.59,0,0,52.5,19
TRIP-00114,DRV-015,TRK-006,2024-11-14,95.3,10.5,6,0,71.8,31
TRIP-00115,DRV-009,TRK-004,2024-08-31,91.1,6.69,4,3,67.3,37
TRIP-00116,DRV-007,TRK-003,2024-10-18,55.0,5.76,2,2,58.9,25
TRIP-00117,DRV-015,TRK-010,2024-12-23,21.4,1.39,0,0,50.6,18
TRIP-00118,DRV-002,TRK-004,2024-07-02,111.1,8.44,2,4,77.7,6
TRIP-00119,DRV-023,TRK-012,2024-02-27,147.9,16.03,2,0,60.5,15
TRIP-00120,DRV-001,TRK-005,2024-04-17,190.2,14.57,6,3,71.5,24
