date,vehicle_id,odometer_km,engine_temp_avg_c,engine_temp_max_c,oil_pressure_psi,battery_voltage,brake_pad_wear_pct,tire_pressure_avg_psi,fuel_consumed_liters,idle_time_minutes
2024-01-01,TRK-001,184278.9,90.9,103.8,40.2,13.94,21.9,34.5,12.8,52
2024-01-02,TRK-001,184494.4,92.8,105.3,38.6,13.86,22.4,36.1,15.53,43
2024-01-03,TRK-001,184708.3,90.4,102.7,38.7,13.95,22.9,36.7,14.46,37
2024-01-04,TRK-001,184938.7,89.0,101.8,37.4,13.78,23.4,35.1,15.72,38
2024-01-05,TRK-001,185160.2,92.2,105.5,38.9,13.76,24.0,36.0,15.18,25
2024-01-06,TRK-001,185358.9,93.9,107.6,37.7,13.91,24.4,34.6,14.02,50
2024-01-07,TRK-001,185358.9,89.2,102.9,39.0,13.77,24.4,35.4,0.0,28
2024-01-08,TRK-001,185570.5,90.3,103.2,38.4,13.97,24.9,35.9,14.74,74
2024-01-09,TRK-001,185815.0,93.0,105.5,37.2,13.74,25.5,35.5,16.51,43
2024-01-10,TRK-001,186057.9,93.1,107.5,39.1,13.75,26.1,35.9,16.59,25
2024-01-11,TRK-001,186348.1,90.4,105.8,40.2,13.95,26.8,35.7,19.58,27
2024-01-12,TRK-001,186624.1,91.3,103.5,40.6,13.96,27.5,37.5,19.09,38
2024-01-13,TRK-001,186696.9,92.5,104.6,38.6,13.99,27.6,35.4,5.22,17
2024-01-14,TRK-001,186777.0,90.9,106.1,39.9,13.91,27.8,35.6,5.47,27
2024-01-15,TRK-001,187011.2,89.9,103.8,39.4,13.97,28.4,36.0,16.27,25
2024-01-16,TRK-001,187258.0,92.2,104.2,38.9,14.0,29.0,36.3,17.1,52
2024-01-17,TRK-001,187473.3,93.0,105.1,37.8,13.87,29.5,34.6,15.37,12
2024-01-18,TRK-001,187683.5,91.9,104.1,37.6,13.86,30.0,36.4,14.33,20
2024-01-19,TRK-001,187917.2,90.7,103.1,41.9,13.98,30.5,33.2,15.94,50
2024-01-20,TRK-001,188005.1,94.4,109.3,38.4,13.86,30.7,35.3,6.28,56
2024-01-21,TRK-001,188240.3,93.4,106.7,36.7,13.84,31.3,36.1,15.96,49
2024-01-22,TRK-001,188470.6,90.3,104.6,37.0,13.89,31.8,33.2,16.08,57
2024-01-23,TRK-001,188775.3,89.5,102.3,40.5,13.9,32.6,34.1,20.53,30
2024-01-24,TRK-001,188775.3,92.8,105.9,39.0,13.67,32.6,36.2,0.0,36
2024-01-25,TRK-001,188998.9,92.7,105.6,39.2,13.83,33.1,34.8,15.24,50
2024-01-26,TRK-001,189278.6,94.1,107.7,39.4,13.97,33.8,34.4,19.0,28
2024-01-27,TRK-001,189404.8,92.0,104.3,40.6,13.83,34.1,35.5,8.55,53
2024-01-28,TRK-001,189511.3,92.2,105.9,38.9,14.01,34.3,34.5,7.24,50
2024-01-29,TRK-001,189511.3,92.3,105.8,38.7,13.91,34.3,35.5,0.0,35
2024-01-30,TRK-001,189803.9,89.9,101.9,39.9,13.98,35.0,34.4,20.48,63
2024-01-31,TRK-001,189993.2,91.3,103.7,39.4,13.83,35.5,34.3,12.8,31
2024-02-01,TRK-001,190252.9,93.2,107.6,40.4,13.84,36.1,34.4,18.25,60
2024-02-02,TRK-001,190483.3,90.2,103.7,38.8,13.87,36.6,35.3,15.67,59
2024-02-03,TRK-001,190536.9,90.5,104.2,38.3,13.95,36.8,35.1,3.79,39
2024-02-04,TRK-001,190738.0,93.3,105.7,41.8,13.81,37.2,35.8,14.37,27
2024-02-05,TRK-001,190961.3,89.7,102.3,40.3,13.68,37.8,33.3,15.21,52
2024-02-06,TRK-001,191125.4,94.8,109.2,40.5,13.84,38.2,33.5,11.06,55
2024-02-07,TRK-001,191351.2,91.7,104.3,39.2,13.94,38.7,36.4,15.28,16
2024-02-08,TRK-001,191588.6,92.7,107.0,39.8,13.77,39.3,33.6,16.07,28
2024-02-09,TRK-001,191825.8,94.3,106.6,39.0,14.04,39.8,35.9,16.32,34
2024-02-10,TRK-001,191825.8,92.9,106.8,40.7,13.78,39.8,35.6,0.0,0
2024-02-11,TRK-001,191998.1,91.6,106.0,39.1,13.64,40.2,34.6,11.96,43
2024-02-12,TRK-001,192142.7,91.8,103.9,39.3,13.9,40.6,33.1,10.23,47
2024-02-13,TRK-001,192318.0,92.6,105.2,39.8,13.87,41.0,36.8,11.94,31
2024-02-14,TRK-001,192522.3,90.6,104.7,38.6,13.78,41.5,34.5,14.5,38
2024-02-15,TRK-001,192522.3,92.7,106.0,40.5,14.0,41.5,34.4,0.0,14
2024-02-16,TRK-001,192739.6,88.2,100.6,36.7,14.06,42.0,36.5,14.82,42
2024-02-17,TRK-001,192817.4,92.0,105.6,40.9,13.61,42.2,34.3,5.29,37
2024-02-18,TRK-001,192911.7,90.1,104.8,41.1,14.01,42.4,35.0,6.36,26
2024-02-19,TRK-001,193120.6,94.4,108.8,38.2,13.82,42.9,36.3,14.79,51
2024-02-20,TRK-001,193280.7,92.8,106.3,37.9,13.84,43.3,34.5,10.77,26
2024-02-21,TRK-001,193531.9,91.7,104.7,39.1,13.93,43.9,34.3,17.07,41
2024-02-22,TRK-001,193678.3,92.7,108.0,37.8,13.97,44.2,34.3,10.47,39
2024-02-23,TRK-001,193832.0,93.2,108.1,37.2,13.93,44.6,37.5,10.38,32
2024-02-24,TRK-001,193832.0,93.5,106.4,38.0,14.0,44.6,34.0,0.0,26
2024-02-25,TRK-001,193869.1,90.2,105.1,39.0,13.91,44.7,35.4,2.54,40
2024-02-26,TRK-001,194075.6,91.2,106.9,39.3,13.85,45.2,35.3,14.21,33
2024-02-27,TRK-001,194294.2,94.0,107.5,37.8,13.63,45.7,35.9,15.3,38
2024-02-28,TRK-001,194567.7,88.4,102.4,39.1,13.99,46.4,33.7,18.49,32
2024-02-29,TRK-001,194848.2,92.0,105.5,38.1,13.95,47.0,34.0,19.43,44
2024-03-01,TRK-001,195132.3,91.1,103.8,38.4,13.78,47.7,34.6,19.37,25
2024-03-02,TRK-001,195330.1,93.5,106.4,36.5,13.93,48.2,34.0,13.34,50
2024-03-03,TRK-001,195490.6,91.8,104.1,39.1,13.76,48.6,37.2,10.82,48
2024-03-04,TRK-001,195732.9,92.6,108.0,39.1,13.76,49.1,33.8,16.34,39
2024-03-05,TRK-001,195913.9,91.7,106.5,38.8,14.03,49.6,33.5,12.21,32
2024-03-06,TRK-001,196188.6,88.2,101.7,38.4,13.98,50.2,36.1,19.04,34
