date,product_id,location_code,warehouse_id,inventory_level,units_sold,units_received
2024-01-01,P001,WH2-Z3-A2-R2-S2,WH2,817,30,0
2024-01-02,P001,WH2-Z3-A2-R2-S2,WH2,771,46,0
2024-01-03,P001,WH2-Z3-A2-R2-S2,WH2,726,45,0
2024-01-04,P001,WH2-Z3-A2-R2-S2,WH2,691,35,0
2024-01-05,P001,WH2-Z3-A2-R2-S2,WH2,651,40,0
2024-01-06,P001,WH2-Z3-A2-R2-S2,WH2,607,44,0
2024-01-07,P001,WH2-Z3-A2-R2-S2,WH2,553,54,0
2024-01-08,P001,WH2-Z3-A2-R2-S2,WH2,534,19,0
2024-01-09,P001,WH2-Z3-A2-R2-S2,WH2,455,79,0
2024-01-10,P001,WH2-Z3-A2-R2-S2,WH2,411,44,0
2024-01-11,P001,WH2-Z3-A2-R2-S2,WH2,372,39,0
2024-01-12,P001,WH2-Z3-A2-R2-S2,WH2,343,29,0
2024-01-13,P001,WH2-Z3-A2-R2-S2,WH2,291,52,0
2024-01-14,P001,WH2-Z3-A2-R2-S2,WH2,245,46,0
2024-01-15,P001,WH2-Z3-A2-R2-S2,WH2,220,25,0
2024-01-16,P001,WH2-Z3-A2-R2-S2,WH2,186,34,0
2024-01-17,P001,WH2-Z3-A2-R2-S2,WH2,149,37,0
2024-01-18,P001,WH2-Z3-A2-R2-S2,WH2,113,36,0
2024-01-19,P001,WH2-Z3-A2-R2-S2,WH2,88,25,0
2024-01-20,P001,WH2-Z3-A2-R2-S2,WH2,42,46,0
2024-01-21,P001,WH2-Z3-A2-R2-S2,WH2,0,42,0
2024-01-22,P001,WH2-Z3-A2-R2-S2,WH2,692,34,726
2024-01-23,P001,WH2-Z3-A2-R2-S2,WH2,669,23,0
2024-01-24,P001,WH2-Z3-A2-R2-S2,WH2,637,32,0
2024-01-25,P001,WH2-Z3-A2-R2-S2,WH2,605,32,0
2024-01-26,P001,WH2-Z3-A2-R2-S2,WH2,569,36,0
2024-01-27,P001,WH2-Z3-A2-R2-S2,WH2,530,39,0
2024-01-28,P001,WH2-Z3-A2-R2-S2,WH2,474,56,0
2024-01-29,P001,WH2-Z3-A2-R2-S2,WH2,438,36,0
2024-01-30,P001,WH2-Z3-A2-R2-S2,WH2,406,32,0
2024-01-31,P001,WH2-Z3-A2-R2-S2,WH2,298,108,0
2024-02-01,P001,WH2-Z3-A2-R2-S2,WH2,271,27,0
2024-02-02,P001,WH2-Z3-A2-R2-S2,WH2,246,25,0
2024-02-03,P001,WH2-Z3-A2-R2-S2,WH2,199,47,0
2024-02-04,P001,WH2-Z3-A2-R2-S2,WH2,164,35,0
2024-02-05,P001,WH2-Z3-A2-R2-S2,WH2,129,35,0
2024-02-06,P001,WH2-Z3-A2-R2-S2,WH2,90,39,0
2024-02-07,P001,WH2-Z3-A2-R2-S2,WH2,67,23,0
2024-02-08,P001,WH2-Z3-A2-R2-S2,WH2,29,38,0
2024-02-09,P001,WH2-Z3-A2-R2-S2,WH2,0,29,0
2024-02-10,P001,WH2-Z3-A2-R2-S2,WH2,674,52,726
2024-02-11,P001,WH2-Z3-A2-R2-S2,WH2,619,55,0
2024-02-12,P001,WH2-Z3-A2-R2-S2,WH2,589,30,0
2024-02-13,P001,WH2-Z3-A2-R2-S2,WH2,557,32,0
2024-02-14,P001,WH2-Z3-A2-R2-S2,WH2,521,36,0
2024-02-15,P001,WH2-Z3-A2-R2-S2,WH2,485,36,0
2024-02-16,P001,WH2-Z3-A2-R2-S2,WH2,453,32,0
2024-02-17,P001,WH2-Z3-A2-R2-S2,WH2,412,41,0
2024-02-18,P001,WH2-Z3-A2-R2-S2,WH2,352,60,0
2024-02-19,P001,WH2-Z3-A2-R2-S2,WH2,320,32,0
2024-02-20,P001,WH2-Z3-A2-R2-S2,WH2,295,25,0
2024-02-21,P001,WH2-Z3-A2-R2-S2,WH2,254,41,0
2024-02-22,P001,WH2-Z3-A2-R2-S2,WH2,134,120,0
2024-02-23,P001,WH2-Z3-A2-R2-S2,WH2,0,134,0
2024-02-24,P001,WH2-Z3-A2-R2-S2,WH2,0,0,0
2024-02-25,P001,WH2-Z3-A2-R2-S2,WH2,0,0,0
2024-02-26,P001,WH2-Z3-A2-R2-S2,WH2,0,0,0
2024-02-27,P001,WH2-Z3-A2-R2-S2,WH2,0,0,0
2024-02-28,P001,WH2-Z3-A2-R2-S2,WH2,0,0,0
2024-02-29,P001,WH2-Z3-A2-R2-S2,WH2,695,31,726
2024-03-01,P001,WH2-Z3-A2-R2-S2,WH2,661,34,0
2024-03-02,P001,WH2-Z3-A2-R2-S2,WH2,621,40,0
2024-03-03,P001,WH2-Z3-A2-R2-S2,WH2,583,38,0
2024-03-04,P001,WH2-Z3-A2-R2-S2,WH2,549,34,0
2024-03-05,P001,WH2-Z3-A2-R2-S2,WH2,523,26,0
2024-03-06,P001,WH2-Z3-A2-R2-S2,WH2,490,33,0
2024-03-07,P001,WH2-Z3-A2-R2-S2,WH2,461,29,0
