event_id,date,warehouse_id,product_id,location_code,quantity_picked,pick_duration_seconds
E00001,2024-08-30,WH3,P016,WH3-Z1-A4-R2-S3,9,65.6
E00001,2024-08-30,WH3,P014,WH3-Z3-A4-R2-S2,2,53.3
E00002,2024-07-27,WH2,P019,WH2-Z2-A3-R3-S1,7,78.0
E00003,2024-01-14,WH2,P001,WH2-Z4-A3-R3-S1,10,114.8
E00003,2024-01-14,WH2,P010,WH2-Z4-A1-R2-S2,4,34.6
E00003,2024-01-14,WH2,P018,WH2-Z1-A1-R5-S1,10,72.9
E00003,2024-01-14,WH2,P002,WH2-Z2-A4-R2-S2,7,58.3
E00003,2024-01-14,WH2,P007,WH2-Z2-A1-R3-S1,7,38.1
E00004,2024-01-28,WH2,P008,WH2-Z1-A4-R1-S2,4,65.5
E00004,2024-01-28,WH2,P020,WH2-Z4-A2-R5-S3,10,89.6
E00004,2024-01-28,WH2,P018,WH2-Z4-A2-R2-S2,6,18.7
E00004,2024-01-28,WH2,P018,WH2-Z1-A1-R5-S1,8,80.0
E00005,2024-12-23,WH3,P017,WH3-Z3-A1-R3-S2,3,82.8
E00006,2024-10-05,WH3,P008,WH3-Z1-A3-R3-S3,9,62.3
E00006,2024-10-05,WH3,P012,WH3-Z2-A3-R3-S1,6,35.2
E00006,2024-10-05,WH3,P012,WH3-Z2-A3-R3-S1,6,13.8
E00007,2024-11-27,WH2,P018,WH2-Z4-A2-R2-S2,10,107.2
E00007,2024-11-27,WH2,P020,WH2-Z4-A3-R1-S1,7,25.2
E00007,2024-11-27,WH2,P015,WH2-Z4-A4-R2-S1,1,26.0
E00007,2024-11-27,WH2,P009,WH2-Z2-A3-R2-S2,9,58.2
E00008,2024-04-29,WH1,P007,WH1-Z2-A4-R2-S3,5,83.9
E00008,2024-04-29,WH1,P003,WH1-Z3-A1-R5-S2,9,61.8
E00009,2024-10-03,WH3,P005,WH3-Z1-A1-R3-S1,2,44.3
E00009,2024-10-03,WH3,P009,WH3-Z3-A4-R4-S2,3,74.9
E00009,2024-10-03,WH3,P019,WH3-Z4-A1-R2-S3,9,58.6
E00009,2024-10-03,WH3,P017,WH3-Z3-A1-R3-S2,8,36.5
E00009,2024-10-03,WH3,P004,WH3-Z2-A1-R5-S2,5,39.1
E00010,2024-12-27,WH2,P015,WH2-Z4-A4-R2-S1,5,119.8
E00011,2024-11-20,WH3,P003,WH3-Z3-A1-R1-S2,2,76.4
E00011,2024-11-20,WH3,P011,WH3-Z4-A3-R1-S3,10,48.4
E00011,2024-11-20,WH3,P017,WH3-Z3-A4-R3-S3,5,43.4
E00011,2024-11-20,WH3,P006,WH3-Z1-A3-R1-S1,5,65.6
E00011,2024-11-20,WH3,P019,WH3-Z4-A1-R2-S3,2,87.4
E00012,2024-11-20,WH3,P006,WH3-Z4-A2-R3-S1,6,108.9
E00012,2024-11-20,WH3,P012,WH3-Z2-A3-R3-S1,8,57.8
E00013,2024-04-06,WH2,P001,WH2-Z4-A1-R1-S2,6,99.6
E00013,2024-04-06,WH2,P007,WH2-Z2-A1-R3-S1,3,55.6
E00013,2024-04-06,WH2,P001,WH2-Z3-A2-R2-S2,10,39.6
E00014,2024-12-14,WH1,P010,WH1-Z4-A2-R3-S1,10,108.0
E00015,2024-11-01,WH3,P006,WH3-Z1-A3-R1-S1,10,55.0
E00015,2024-11-01,WH3,P006,WH3-Z3-A1-R2-S2,9,67.0
E00015,2024-11-01,WH3,P005,WH3-Z1-A1-R3-S1,6,53.5
